brand,workday_sales,weekend_sales,ratio
Albatron,308,,
AMD,57452167,20301690,2,829920415
Aorus,6731976,1374182,4,898896943
Asus,27017947,6935210,3,895764800
BFG Technologies,5850,,
Club 3D,1050150,397598,2,641235619
Colorful iGame,112881,42388,2,663041426
Connect3D,384,,
Corsair,58916,719,81,941585535
Dell,665,659,1,009104704
Diamond,35943,10865,3,308145421
EVGA,21856415,5714397,3,824798137
Gainward,4225853,1497509,2,821921604
GALAX,688415,149398,4,607926478
Gigabyte,28349769,6922263,4,095448121
HIS,368180,120266,3,061380606
HP,575654,134732,4,272585577
Inno3D,5101927,1818374,2,805763280
Jaton,26704,6514,4,099478047
Jetway,214,,
KFA2,3125774,1203418,2,597413367
Leadtek,1083,,
Lenovo,1646,,
Manli,776298,308350,2,517587157
Matrox,3536337,1259601,2,807505710
MSI,22650054,6210867,3,646842542
NVidia,90924,25112,3,620739088
OcUK,8534,365,23,380821917
Palit,7810947,2488326,3,139036846
PNY,109818407,37953093,2,893529836
Point of View,418299,165524,2,527119934
PowerColor,6185777,2117703,2,920984198
Sapphire,10996320,3220775,3,414184474
Sparkle,1049908,415758,2,525286344
VisionTek,812804,307661,2,641881811
VTX3D,309107,108489,2,849201301
XFX,7542158,2277351,3,311811837
XpertVision,1039,,
Zotac,12925969,3509033,3,683627084
